Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER MANAGEMENT,PWA-1,10044,Epic,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Highest,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 10:43,4/1/2026 10:43,,,PWA RELEASE 1,4/20/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9a4b5ef,,,,,ghx-label-13,,To Do,,,,dark_green,,,,,0|i0002f:,,,PWA Sprint 1,4/1/2026 0:00,,,,,,,,,,,,,,To Do,4/1/2026 10:43
AS A USER I SHOULD BE ABLE TO CONTINUE LEARNING FROM WHERE I LEFT,PWA-16,10060,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:15,4/1/2026 12:22,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4364d100,,,,,,,,,,,,,,,,0|i0005r:,,,PWA Sprint 1,,,,,,,,,,,,10051,PWA-7,MY COURSE DETAILS,To Do,4/1/2026 12:15
AS A USER I SHOULD BE ABLE TO SEE PLAYBACK OPTIONS IN A VIDEO,PWA-17,10061,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:19,4/1/2026 12:25,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f5f4cbb,,,,,,,,,,,,,,,,0|i0005z:,,,PWA Sprint 1,,,,,,,,,,,,10051,PWA-7,MY COURSE DETAILS,To Do,4/1/2026 12:19
AS A USER I SHOULD BE ABLE TO SEE THE PRGRESS OF THE VIDEO,PWA-18,10062,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:20,4/1/2026 12:25,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@541edc0f,,,,,,,,,,,,,,,,0|i00067:,,,PWA Sprint 1,,,,,,,,,,,,10051,PWA-7,MY COURSE DETAILS,To Do,4/1/2026 12:20
AS A USER I SHOULD BE ABLE TO REDIRECT TO NEXT VIDEO AS THE CURRENT VIDEO COMPLETED,PWA-19,10063,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:21,4/1/2026 12:25,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7dd56c29,,,,,,,,,,,,,,,,0|i0006f:,,,PWA Sprint 1,,,,,,,,,,,,10051,PWA-7,MY COURSE DETAILS,To Do,4/1/2026 12:21
AS A USER I SHOULD BE ABLE TO GIVE REVIEWS TO A VIDEO,PWA-20,10064,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:21,4/1/2026 12:25,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@39900c09,,,,,,,,,,,,,,,,0|i0006n:,,,PWA Sprint 1,,,,,,,,,,,,10051,PWA-7,MY COURSE DETAILS,To Do,4/1/2026 12:21
AS A USER I SHOULD BE ABLE TO SEE ALL THE PREVIOUS REVIEWS,PWA-21,10065,Story,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,Aditya Singh,712020:7d8decca-fc7a-471a-8e19-5d48dd3fb765,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:22,4/1/2026 14:59,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2baf7140,,,,,,,,,,,,,,,,0|i0006v:,,,PWA Sprint 1,,,,,,,,,,,,10051,PWA-7,MY COURSE DETAILS,To Do,4/1/2026 12:22
WRITE FUNCTIONALITY TEST CASE FOR REGISTRATION MODULE,PWA-22,10067,Task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Highest,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:33,4/1/2026 12:33,4/1/2026 12:36,,PWA RELEASE 1,4/3/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17b1fa9f,,,,,,,,,,,,,,,,0|i00073:,,,PWA Sprint 1,4/1/2026 0:00,,,,,,,,,,,10044,PWA-1,USER MANAGEMENT,To Do,4/1/2026 12:34
WRITE TEST CASES FOR FULL NAME TEXT FIELD,PWA-23,10069,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:37,4/1/2026 12:37,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@439939a1,,,,,,,,,,,,,,,,0|i0007b:,,,PWA Sprint 1,,,,,,,,,,,,10067,PWA-22,WRITE FUNCTIONALITY TEST CASE FOR REGISTRATION MODULE,To Do,4/1/2026 12:37
WRITE TEST CASES FOR EMAIL ADDRESS TEXT FIELD,PWA-24,10071,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:37,4/1/2026 12:37,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37729942,,,,,,,,,,,,,,,,0|i0007j:,,,PWA Sprint 1,,,,,,,,,,,,10067,PWA-22,WRITE FUNCTIONALITY TEST CASE FOR REGISTRATION MODULE,To Do,4/1/2026 12:37
WRITE TEST CASES FOR MOBILE NUMBER TEXT FIELD,PWA-25,10073,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:38,4/1/2026 12:38,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d32bb83,,,,,,,,,,,,,,,,0|i0007r:,,,PWA Sprint 1,,,,,,,,,,,,10067,PWA-22,WRITE FUNCTIONALITY TEST CASE FOR REGISTRATION MODULE,To Do,4/1/2026 12:38
WRITE TEST CASES FOR OTP TEXT FIELD,PWA-26,10075,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:38,4/1/2026 12:38,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@747b1141,,,,,,,,,,,,,,,,0|i0007z:,,,PWA Sprint 1,,,,,,,,,,,,10067,PWA-22,WRITE FUNCTIONALITY TEST CASE FOR REGISTRATION MODULE,To Do,4/1/2026 12:38
WRITE TEST CASES FOR PASSWORD TEXT FIELD,PWA-27,10077,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:39,4/1/2026 12:39,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b963bcf,,,,,,,,,,,,,,,,0|i00087:,,,PWA Sprint 1,,,,,,,,,,,,10067,PWA-22,WRITE FUNCTIONALITY TEST CASE FOR REGISTRATION MODULE,To Do,4/1/2026 12:39
WRITE TEST CASES FOR CONFIRM PASSWORD TEXT FIELD,PWA-28,10079,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:40,4/1/2026 12:40,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1e3a71d0,,,,,,,,,,,,,,,,0|i0008f:,,,PWA Sprint 1,,,,,,,,,,,,10067,PWA-22,WRITE FUNCTIONALITY TEST CASE FOR REGISTRATION MODULE,To Do,4/1/2026 12:40
WRITE TEST CASES FOR TERMS AND CONDITION CHECKBOX,PWA-29,10081,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 12:40,4/1/2026 12:40,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@66a2e694,,,,,,,,,,,,,,,,0|i0008n:,,,PWA Sprint 1,,,,,,,,,,,,10067,PWA-22,WRITE FUNCTIONALITY TEST CASE FOR REGISTRATION MODULE,To Do,4/1/2026 12:40
